Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual,
199,-178.3,-178.3,-175.0072861,-181.3,-181.4,-196.0521199,-3.292713893,-3.292713893,14.75211992,14.65211992,10.84196478,10.84196478,217.6250422,214.6846182,0.0066385,0.0066385,0.0297422,0.0295406,0.0001643
200,-178.3,-178.3,-174.9672247,-181.3,-181.4,-195.9631803,-3.332775286,-3.332775286,14.66318034,14.56318034,11.10739111,11.10739111,215.0088577,212.0862216,0.0067193,0.0067193,0.0295629,0.0293613,0.0001653
201,-178.2,-178.2,-174.94761,-181.3,-181.3,-195.8775417,-3.252390026,-3.252390026,14.5775417,14.5775417,10.57804088,10.57804088,212.5047219,212.5047219,0.0065572,0.0065572,0.0293902,0.0293902,0.0001633
202,-178.2,-178.2,-174.9638981,-181.2,-181.3,-195.7977896,-3.236101886,-3.236101886,14.59778964,14.49778964,10.47235542,10.47235542,213.0954623,210.1859044,0.0065244,0.0065244,0.0294310,0.0292294,0.0001629
203,-178.1,-178.1,-174.9799763,-181.2,-181.3,-195.7181221,-3.120023659,-3.120023659,14.5181221,14.4181221,9.73454763,9.73454763,210.7758693,207.8822449,0.0062904,0.0062904,0.0292704,0.0290688,0.0001599
204,-178.1,-178.1,-174.9966527,-181.2,-181.3,-195.6384546,-3.103347308,-3.103347308,14.43845456,14.33845456,9.630764513,9.630764513,208.4689701,205.5912792,0.0062567,0.0062567,0.0291098,0.0289082,0.0001595
205,-178,-178,-175.0146795,-181.2,-181.3,-195.5609116,-2.985320502,-2.985320502,14.3609116,14.2609116,8.912138497,8.912138497,206.2357821,203.3735998,0.0060188,0.0060188,0.0289535,0.0287518,0.0001564
206,-178,-178,-175.0537067,-181.2,-181.3,-195.4839689,-2.946293342,-2.946293342,14.28396887,14.18396887,8.680644457,8.680644457,204.0317666,201.1849729,0.0059401,0.0059401,0.0287983,0.0285967,0.0001554
207,-178,-178,-175.0878162,-181.1,-181.2,-195.4063667,-2.912183759,-2.912183759,14.30636675,14.20636675,8.480814247,8.480814247,204.6721295,201.8208561,0.0058713,0.0058713,0.0288435,0.0286419,0.0001545
208,-177.9,-177.9,-175.1177702,-181.1,-181.2,-195.3275245,-2.782229767,-2.782229767,14.22752453,14.12752453,7.740802476,7.740802476,202.4224541,199.5869492,0.0056093,0.0056093,0.0286845,0.0284829,0.0001510
209,-177.9,-177.9,-175.1483634,-181.1,-181.2,-195.2486034,-2.751636603,-2.751636603,14.14860341,14.04860341,7.571503994,7.571503994,200.1829785,197.3632579,0.0055477,0.0055477,0.0285254,0.0283238,0.0001502
210,-177.8,-177.8,-175.1782712,-181.1,-181.2,-195.1696823,-2.621728838,-2.621728838,14.0696823,13.9696823,6.873462101,6.873462101,197.95596,195.1520236,0.0052857,0.0052857,0.0283663,0.0281647,0.0001466
211,-177.7,-177.7,-175.2079117,-181.1,-181.2,-195.0982858,-2.492088284,-2.492088284,13.99828582,13.89828582,6.210504015,6.210504015,195.952006,193.1623488,0.0050244,0.0050244,0.0282224,0.0280207,0.0001429
212,-177.7,-177.7,-175.2196598,-181.1,-181.1,-195.0201354,-2.4803402,-2.4803402,13.92013537,13.92013537,6.152087506,6.152087506,193.7701687,193.7701687,0.0050007,0.0050007,0.0280648,0.0280648,0.0001426
213,-177.6,-177.6,-175.2272025,-181.1,-181.1,-194.9419849,-2.372797506,-2.372797506,13.84198491,13.84198491,5.630168006,5.630168006,191.6005464,191.6005464,0.0047839,0.0047839,0.0279072,0.0279072,0.0001394
214,-177.5,-177.5,-175.2360968,-181,-181.1,-194.8638345,-2.263903172,-2.263903172,13.86383446,13.76383446,5.125257572,5.125257572,192.205906,189.4431391,0.0045643,0.0045643,0.0279513,0.0277497,0.0001362
215,-177.4,-177.4,-175.2463749,-181,-181.1,-194.785684,-2.15362513,-2.15362513,13.78568401,13.68568401,4.638101202,4.638101202,190.0450835,187.2979467,0.0043420,0.0043420,0.0277937,0.0275921,0.0001329
216,-177.4,-177.4,-175.256673,-181,-181,-194.7073269,-2.143326978,-2.143326978,13.7073269,13.7073269,4.593850534,4.593850534,187.8908107,187.8908107,0.0043212,0.0043212,0.0276357,0.0276357,0.0001325
217,-177.3,-177.3,-175.2657852,-181,-181,-194.6283863,-2.034214775,-2.034214775,13.62838628,13.62838628,4.138029751,4.138029751,185.7329127,185.7329127,0.0041012,0.0041012,0.0274766,0.0274766,0.0001291
218,-177.2,-177.2,-175.2745062,-181,-181,-194.551252,-1.925493782,-1.925493782,13.551252,13.551252,3.707526303,3.707526303,183.6364307,183.6364307,0.0038820,0.0038820,0.0273211,0.0273211,0.0001256
219,-177.2,-177.2,-175.2845956,-181,-180.9,-194.4818444,-1.915404384,-1.915404384,13.48184435,13.58184435,3.668773953,3.668773953,181.7601271,184.466496,0.0038617,0.0038617,0.0271811,0.0273828,0.0001253
220,-177.1,-177.1,-175.3022441,-180.9,-180.9,-194.4261875,-1.797755872,-1.797755872,13.52618752,13.52618752,3.231926174,3.231926174,182.9577487,182.9577487,0.0036245,0.0036245,0.0272705,0.0272705,0.0001214
