Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
199,-180.00000,-180.00000,-178.76501,-183.00000,-182.60000,-184.60411,-1.23499,-1.23499,1.60411,2.00411,1.52521,1.52521,2.57315,4.01644,0.0024899,0.0024899,0.0032341,0.0040405
200,-180.00000,-180.00000,-178.70773,-183.00000,-182.60000,-184.56557,-1.29227,-1.29227,1.56557,1.96557,1.66996,1.66996,2.45102,3.86347,0.0026054,0.0026054,0.0031564,0.0039628
201,-180.00000,-180.00000,-178.65045,-183.00000,-182.60000,-184.52704,-1.34955,-1.34955,1.52704,1.92704,1.82128,1.82128,2.33185,3.71348,0.0027209,0.0027209,0.0030787,0.0038852
202,-180.00000,-180.00000,-178.59743,-183.00000,-182.60000,-184.48851,-1.40257,-1.40257,1.48851,1.88851,1.96721,1.96721,2.21565,3.56646,0.0028278,0.0028278,0.0030010,0.0038075
203,-180.00000,-180.00000,-178.58932,-183.00000,-182.60000,-184.44997,-1.41068,-1.41068,1.44997,1.84997,1.99003,1.99003,2.10243,3.42240,0.0028441,0.0028441,0.0029233,0.0037298
204,-180.00000,-180.00000,-178.58734,-183.00000,-182.60000,-184.41144,-1.41266,-1.41266,1.41144,1.81144,1.99560,1.99560,1.99217,3.28132,0.0028481,0.0028481,0.0028456,0.0036521
205,-180.00000,-180.00000,-178.58601,-183.00000,-182.60000,-184.37187,-1.41399,-1.41399,1.37187,1.77187,1.99937,1.99937,1.88202,3.13951,0.0028508,0.0028508,0.0027659,0.0035723
206,-180.00000,-180.00000,-178.58467,-183.00000,-182.60000,-184.33119,-1.41533,-1.41533,1.33119,1.73119,2.00316,2.00316,1.77208,2.99703,0.0028535,0.0028535,0.0026839,0.0034903
207,-180.00000,-180.00000,-178.58333,-183.00000,-182.60000,-184.29052,-1.41667,-1.41667,1.29052,1.69052,2.00694,2.00694,1.66545,2.85786,0.0028562,0.0028562,0.0026019,0.0034083
208,-180.00000,-180.00000,-178.58267,-182.90000,-182.60000,-184.24985,-1.41733,-1.41733,1.34985,1.64985,2.00883,2.00883,1.82209,2.72200,0.0028575,0.0028575,0.0027215,0.0033263
